t,cycle_no,base_pct,GDP_pct,GNI_pct,AD_pct,AS_pct,Pw_pct,Sw_pct,IKT_pct,IHT_pct,target_GDP,target_GNI,target_AD,target_AS,asymmetry,Pc,Pw,P_net,P_net_check,P_N,P_A,Sc,Sw,S_net,S_net_check,S_N,S_A,Mc,M_N,M_A,B_N,B_A,I_K_N,R_K_N,I_K_A,R_K_A,I_H_N,R_H_N,I_H_A,R_H_A,I_K_T_abs,I_H_T_abs,I_K_T_check,I_H_T_check,K_stock,H_stock,bal1_driver,bal2_driver,bal3_driver,bal4_driver,BAL_1_abs,BAL_2_abs,BAL_3_abs,BAL_4_abs,amp_mod_1,amp_mod_2,amp_mod_3,amp_mod_4,GDP_abs,GNI_abs,AD_abs,AS_abs,Pw_abs_plot,Sw_abs_plot,IKT_abs_plot,IHT_abs_plot,GDP_gap_abs,GNI_gap_abs,AD_gap_abs,AS_gap_abs
10,1,1.7377614445252318,1.2558954060175016,1.4144142503185606,1.0639061642443042,1.4144142503185606,1.2558954060175016,1.4144142503185606,1.4144142503185606,1.0639061642443042,1.7377614445252318,1.7377614445252318,1.7377614445252318,1.7377614445252318,0.0,1.07378923516754,0.9030151142114835,0.17077412095605643,0.17077412095605649,1.07378923516754,0.0,1.07378923516754,0.9030151142114835,0.17077412095605643,0.17077412095605649,1.07378923516754,0.0,1.07378923516754,1.07378923516754,0.0,1.07378923516754,0.0,0.9030151142114835,0.05806320112505919,0.0,0.0,0.9030151142114835,0.05806320112505919,0.0,0.0,0.9610783153365426,0.9610783153365426,0.9610783153365426,0.9610783153365426,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
11,1,1.9346355846361214,1.4327211285478703,1.602183082181459,1.2208820356691197,1.602183082181459,1.4327211285478703,1.602183082181459,1.602183082181459,1.2208820356691197,1.9346355846361214,1.9346355846361214,1.9346355846361214,1.9346355846361214,0.0,1.0825909523401531,0.9105962117154092,0.17199474062474396,0.17199474062474396,1.0825909523401531,0.0,1.0825909523401531,0.9105962117154092,0.17199474062474396,0.17199474062474396,1.0825909523401531,0.0,1.0825909523401531,1.0825909523401531,0.0,1.0825909523401531,0.0,0.9105962117154092,0.05847821181241295,0.0,0.0,0.9105962117154092,0.05847821181241295,0.0,0.0,0.9690744235278221,0.9690744235278221,0.9690744235278221,0.9690744235278221,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
12,1,2.1342227905795084,1.6154660621858628,1.794208225449049,1.3855287956751354,1.794208225449049,1.6154660621858628,1.794208225449049,1.794208225449049,1.3855287956751354,2.1342227905795084,2.1342227905795084,2.1342227905795084,2.1342227905795084,0.0,1.0915598525410295,0.9183276712394366,0.17323218130159296,0.1732321813015929,1.0915598525410295,0.0,1.0915598525410295,0.9183276712394366,0.17323218130159296,0.1732321813015929,1.0915598525410295,0.0,1.0915598525410295,1.0915598525410295,0.0,1.0915598525410295,0.0,0.9183276712394366,0.058898941642541607,0.0,0.0,0.9183276712394366,0.058898941642541607,0.0,0.0,0.9772266128819782,0.9772266128819782,0.9772266128819782,0.9772266128819782,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
13,1,2.336535561323516,1.8033015633966791,1.9899409714277398,1.5569574660237855,1.9899409714277398,1.8033015633966791,1.9899409714277398,1.9899409714277398,1.5569574660237855,2.336535561323516,2.336535561323516,2.336535561323516,2.336535561323516,0.0,1.1006941774586358,0.9262076569784301,0.1744865204802058,0.17448652048020574,1.1006941774586358,0.0,1.1006941774586358,0.9262076569784301,0.1744865204802058,0.17448652048020574,1.1006941774586358,0.0,1.1006941774586358,1.1006941774586358,0.0,1.1006941774586358,0.0,0.9262076569784301,0.05932541696326998,0.0,0.0,0.9262076569784301,0.05932541696326998,0.0,0.0,0.9855330739417001,0.9855330739417001,0.9855330739417001,0.9855330739417001,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
14,1,2.5415973549553943,1.995619388894025,2.18903700445596,1.7344425135106074,2.18903700445596,1.995619388894025,2.18903700445596,2.18903700445596,1.7344425135106074,2.5415973549553943,2.5415973549553943,2.5415973549553943,2.5415973549553943,0.0,1.109993097158374,0.9342351935576506,0.17575790360072344,0.1757579036007234,1.109993097158374,0.0,1.109993097158374,0.9342351935576506,0.17575790360072344,0.1757579036007234,1.109993097158374,0.0,1.109993097158374,1.109993097158374,0.0,1.109993097158374,0.0,0.9342351935576506,0.05975768722424597,0.0,0.0,0.9342351935576506,0.05975768722424597,0.0,0.0,0.9939928807818966,0.9939928807818966,0.9939928807818966,0.9939928807818966,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
15,1,2.7494352270764377,2.191976176205313,2.391285291438523,1.9173936653720525,2.391285291438523,2.191976176205313,2.391285291438523,2.391285291438523,1.9173936653720525,2.7494352270764377,2.7494352270764377,2.7494352270764377,2.7494352270764377,0.0,1.1194562868255655,0.9424097884176916,0.17704649840787393,0.1770464984078739,1.1194562868255655,0.0,1.1194562868255655,0.9424097884176916,0.17704649840787393,0.1770464984078739,1.1194562868255655,0.0,1.1194562868255655,1.1194562868255655,0.0,1.1194562868255655,0.0,0.9424097884176916,0.06019580945867714,0.0,0.0,0.9424097884176916,0.06019580945867714,0.0,0.0,1.0026055978763688,1.0026055978763688,1.0026055978763688,1.0026055978763688,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
16,1,2.9600780479641617,2.3920512969412546,2.596561100204333,2.105332062446922,2.596561100204333,2.3920512969412546,2.596561100204333,2.596561100204333,2.105332062446922,2.9600780479641617,2.9600780479641617,2.9600780479641617,2.9600780479641617,0.0,1.1290837768610926,0.9507312929637148,0.17835248389737782,0.1783524838973778,1.1290837768610926,0.0,1.1290837768610926,0.9507312929637148,0.17835248389737782,0.1783524838973778,1.1290837768610926,0.0,1.1290837768610926,1.1290837768610926,0.0,1.1290837768610926,0.0,0.9507312929637148,0.06063984452510846,0.0,0.0,0.9507312929637148,0.06063984452510846,0.0,0.0,1.0113711374888232,1.0113711374888232,1.0113711374888232,1.0113711374888232,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
17,1,3.1735562906155788,2.5956154298687877,2.804795601236978,2.2978705397595784,2.804795601236978,2.5956154298687877,2.804795601236978,2.804795601236978,2.2978705397595784,3.1735562906155788,3.1735562906155788,3.1735562906155788,3.1735562906155788,0.0,1.138875891511314,0.9591998425094974,0.17967604900181658,0.17967604900181655,1.138875891511314,0.0,1.138875891511314,0.9591998425094974,0.17967604900181658,0.17967604900181655,1.138875891511314,0.0,1.138875891511314,1.138875891511314,0.0,1.138875891511314,0.0,0.9591998425094974,0.06108985666061764,0.0,0.0,0.9591998425094974,0.06108985666061764,0.0,0.0,1.0202896991701151,1.0202896991701151,1.0202896991701151,1.0202896991701151,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
18,1,3.389902227988387,2.802507307342632,3.0159564160466754,2.4946974582303594,3.0159564160466754,2.802507307342632,3.0159564160466754,3.0159564160466754,2.4946974582303594,3.389902227988387,3.389902227988387,3.389902227988387,3.389902227988387,0.0,1.1488332189240646,0.9678158251105367,0.181017393813528,0.181017393813528,1.1488332189240646,0.0,1.1488332189240646,0.9678158251105367,0.181017393813528,0.181017393813528,1.1488332189240646,0.0,1.1488332189240646,1.1488332189240646,0.0,1.1488332189240646,0.0,0.9678158251105367,0.061545913896599524,0.0,0.0,0.9678158251105367,0.061545913896599524,0.0,0.0,1.0293617390071361,1.0293617390071361,1.0293617390071361,1.0293617390071361,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
19,1,3.609150241251229,3.0126165772098905,3.2300352644217303,2.695563494824824,3.2300352644217303,3.0126165772098905,3.2300352644217303,3.2300352644217303,2.695563494824824,3.609150241251229,3.609150241251229,3.609150241251229,3.609150241251229,0.0,1.1589565956154988,0.9765798641197412,0.18237673149575762,0.18237673149575762,1.1589565956154988,0.0,1.1589565956154988,0.9765798641197412,0.18237673149575762,0.18237673149575762,1.1589565956154988,0.0,1.1589565956154988,1.1589565956154988,0.0,1.1589565956154988,0.0,0.9765798641197412,0.06200808870855759,0.0,0.0,0.9765798641197412,0.06200808870855759,0.0,0.0,1.0385879528282989,1.0385879528282989,1.0385879528282989,1.0385879528282989,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150464,10.818215501150465,10.818215501150462,118.0,112.0,46.0,52.0,0.0,0.0,0.0,0.0,14.16,14.16,13.44,13.44,5.52,5.52,6.24,6.24,-103.84,-103.84,-98.56,-98.56
